"","x"
"LH11",3.89162322192032e-06
"LH12",0.000846384926173585
"LH13",0.00224153538687341
"LH14",0.000134875946022215
"LH15",0.000191921203207081
"LH16",0.00109596874984868
"LH17",0.00108829399831696
"LH18",-0.000169197759212673
"LH19",0.000169127573825569
"LH110",2.60403426564592e-05
"LH111",0.000720500370058946
"LH112",5.82609601002203e-05
"LH113",-0.00034240772733019
"LH114",0.00124914929395398
"LH115",-6.47906398711249e-05
"LH116",0.000190475296407495
"LH117",0.000498627702075589
"LH118",-0.000440350685196717
"LH119",0.000150303038426946
"LH120",-5.98254620465838e-05
"LH121",0.000137958760660807
"LH122",0.0010252565891378
"LH123",1.31452924171695e-05
"LH124",0.000971662954045845
"LH125",0.00105328761928164
"LH126",0.000176826441099545
"LH127",-0.00121116997701648
"LH128",0.00353468801566761
"LH129",0.00365706714154248
"LH130",0.00156245381474633
"LH131",0.00712519862952916
"LH132",0.00346314625638437
"LH133",0.00010183141866342
"LH134",5.14782677251404e-05
"LH135",0.000745521005176117
"LH136",0.000827690870142232
"LH137",0.00115922433949546
"LH138",6.46185492854492e-05
"LH139",0.000756017227000788
"LH140",2.94582053676952e-05
"LH141",0.00130526840922669
"LH142",0.00072784846696417
"LH143",2.32046778336435e-05
"LH144",-8.05370235048506e-05
"LH145",0.000116786406127991
"LH146",7.57110625850352e-05
"LH147",0.00107856114484579
"LH148",0.000297903227015899
"LH149",-8.01844143613157e-06
"LH150",0.00169234580297258
"LH151",0.000484775334649781
"LH152",0.0013376831449014
"LH153",0.000991708892538135
"LH154",0.000706052748324451
"LH155",0.00215757768831391
"LH156",0.000784895175759951
"LH157",0.000634050729860198
"LH158",0.00273836026494235
"LH159",0.000581194619286764
"LH160",0.00194009008446646
"LH161",0.000702804823513827
"LH162",0.000116733895628141
"LH163",0.00391484721159604
"LH164",0.00160380504975877
"LH165",0.000854320378186584
"LH166",3.63748344550616e-05
"LH167",0.000271161399370263
"LH168",-4.91988007978996e-05
"LH169",0.000491354677795225
"LH170",-3.24084433775234e-05
"LH171",0.000581294127831081
"LH172",0.000282720242804394
"LH173",0.000506938066610666
"LH174",-1.00314255946087e-05
"LH175",-0.000118259160840293
"LH176",0.00010116339956918
"LH177",0.000139875224512812
"LH178",0.00223172356842783
"LH179",0.000296114687024419
"LH180",0.00042665502145616
"LH181",-1.00697947075679e-05
"LH182",0.000885400388718663
"LH183",0.0005612081408282
"LH184",0.00265892617722578
"LH185",0.00224269955527319
"LH186",0.00254273643790355
"LH187",0.00899759069301589
"LH188",0.00019830546246366
"LH189",1.50664173599252e-05
"LH190",0.00096716915230504
"LH191",0.000459490751519548
"LH192",0.00117183127456404
"LH193",0.00143808930928682
"LH194",5.84508980801333e-05
"LH195",0.000347623142776202
"LH196",0.00182603255930375
"LH197",0.000331449873137478
"LH198",0.000636565377557172
"LH199",0.000290031255356137
"LH1100",7.79918907805979e-05
"LH1101",0.00076707600704208
"LH1102",4.6635994886802e-05
"LH1103",-2.67825374927794e-06
"LH1104",0.000344561756920435
"LH1105",0.000925603116134461
"LH1106",3.89856990962704e-05
"LH1107",0.000713729409908486
"LH1108",-6.14668746635821e-05
"LH1109",0.000580039399247905
"LH1110",0.00113559125899361
"LH1111",0.000789597722169809
"LH1112",0.000767641369270722
"LH1113",0.00281899322715593
"LH1114",0.00166181659020193
"LH1115",0.00214725849830608
"LH1116",0.000665505158650878
"LH1117",0.000232927829639109
"LH1118",0.00121550856457317
"LH1119",0.000265739195474235
"LH1120",0.000551932004259387
"LH1121",7.72109333786739e-05
"LH1122",0.000597943375623
"LH1123",5.89785418219495e-05
"LH1124",0.00079300218859114
"LH1125",0.00110332645105842
"LH1126",0.00278804462456772
"LH1127",0.0026585827697433
"LH1128",0.000347705751609818
"LH1129",0.000162510112221255
"LH1130",0.000587003301088538
"LH1131",0.000672768337095048
"LH1132",7.80404965240684e-05
"LH1133",6.04695274566729e-07
"LH1134",3.16016128783479e-05
"LH1135",0.000409822866110651
"LH1136",0.000762261722573848
"LH1137",0.00052570164694699
"LH1138",0.000623266378675774
"LH1139",0.000232445938914786
"LH1140",5.36003113607253e-05
"LH1141",0.000150286956986777
"LH1142",0.000287570277460845
"LH1143",0.000878101305097274
"LH1144",0.000512937763957434
"LH1145",0.00578391555357834
"LH1146",0.00147701899927646
"LH1147",0.00114370813120682
"LH1148",0.000471216911624051
"LH1149",0.00251529938875482
"LH1150",0.00177438810363407
"LH1151",0.000531507504953324
"LH1152",0.000702012329990401
"LH1153",0.00122217394780697
"LH1154",0.00205015549376609
"LH1155",7.5582065272664e-06
"LH1156",0.000496691267473248
"LH1157",0.000335448785394205
"LH1158",0.00151781605163026
"LH1159",0.0021109381119086
"LH1160",0.00143870814242281
"LH1161",0.000348565923154223
"LH1162",0.000286620080312522
"LH1163",0.000251402537190134
"LH1164",0.00080022641138038
"LH1165",0.000567614772220934
"LH1166",0.000704764090875714
"LH1167",0.000254771351116512
"LH1168",3.85574354064995e-05
"LH1169",2.68103063929296e-05
"LH1170",0.00145368829955953
"LH1171",8.28319222256978e-05
"LH1172",1.22793151520073e-05
"LH1173",-2.82617176429901e-06
"LH1174",0.000638438314105571
"LH1175",0.00182950274364686
"LH1176",0.000334839199081057
"LH1177",0.000800690128487699
"LH1178",2.24558297128483e-05
"LH1179",9.55069358177621e-05
"LH1180",2.38357612944209e-05
"LH1181",0.000460098733409926
"LH1182",-0.000192124054082342
"LH1183",0.000702013759898192
"LH1184",0.000446094897079854
"LH1185",0.000626020657226892
"LH1186",0.000451553764736647
"LH1187",0.000391902662867565
"LH1188",-3.19362050238505e-05
"LH1189",0.00264183425869515
"LH1190",0.000799864294930954
"LH1191",0.00420043274413074
"LH1192",0.00172188482381895
"LH1193",-9.85041442571962e-06
"LH1194",-7.47397490033286e-06
"LH1195",3.39483219557465e-05
"LH1196",0.000148382917649661
"LH1197",0.000345485662418489
"LH1198",-3.33405490971383e-06
"LH1199",1.38987129018476e-05
"LH1200",-1.37990997603622e-05
"LH1201",2.17915656721067e-05
"LH1202",9.12420647618547e-05
"LH1203",-6.49319570570507e-07
"LH1204",3.16348937758312e-05
"LH1205",-4.24516181874575e-05
"LH1206",0.000841756880077279
"LH1207",0.000373026497949114
"LH1208",0.000394728917568987
"LH1209",0.000539425518473609
"LH1210",0.00100256617217891
"LH1211",1.69737742117176e-05
"LH1212",0.00012394355604709
"LH1213",-4.14700005073307e-06
"LH1214",9.28485929816437e-05
"LH1215",0.000445449369316488
"LH1216",0.000853446622087746
"LH1217",0.00194598675620354
"LH1218",0.0028109164320362
"LH1219",0.00385966440780554
"LH1220",0.0023147648599498
"LH1221",0.00473823611197747
"LH1222",0.00424411099815657
"LH1223",0.00198699985323989
"LH1224",0.00154407150664953
"LH1225",0
"LH1226",0
"LH1227",0.000101367200535089
"LH1228",5.17253030862205e-05
"LH1229",2.05778640503374e-05
"LH1230",-3.56338548987448e-06
"LH1231",2.47352302955231e-05
"LH1232",0.000222782103324597
"LH1233",0.000180900859863884
"LH1234",0.000364906269746159
"LH1235",0.000772702366375183
"LH1236",8.6768159270973e-05
"LH1237",-0.000121851648932529
"LH1238",0.000276200264523098
"LH1239",0.000533497424841902
"LH1240",0.000920770781601793
"LH1241",0.000118753635532372
"LH1242",0.00017379974709086
"LH1243",3.3814594391484e-08
"LH1244",0.0039039250643864
"LH1245",0.00480590404681563
"LH1246",0.00103113441019872
"LH1247",0.000823522065123124
"LH1248",0.000647462297969265
"LH1249",0.00221343220694285
"LH1250",0.000399808537665879
"LH1251",0.00070685331206077
"LH1252",0.00783894712884144
"LH1253",0.00289944126664228
"LH1254",0.0013536806488042
"LH1255",0.00133746657744037
"LH1256",0.00221123725156331
"LH1257",0.000206467156319123
"LH1258",2.72130277573283e-05
"LH1259",9.0830422300043e-05
"LH1260",-1.90128879794124e-05
"LH1261",-1.9880667137315e-05
"LH1262",2.67742018363556e-05
"LH1263",1.52506739914753e-06
"LH1264",1.29488385263616e-05
"LH1265",3.4349249802518e-05
"LH1266",0.000459185697027057
"LH1267",1.80554880176622e-06
"LH1268",0.000293051881340204
"LH1269",0.000103269095432212
"LH1270",0.000495687837371947
"LH1271",0.000242989873955572
"LH1272",0.000683974713717496
"LH1273",7.34894682651924e-05
"LH1274",7.82212828037237e-05
"LH1275",0.000209963899285346
"LH1276",0.00142896319742674
"LH1277",0.00123787886871114
"LH1278",0.0025634558716573
"LH1279",0.00131374500947914
"LH1280",7.83051801332527e-05
"LH1281",0.00843766784021616
"LH1282",0.00467169039294122
"LH1283",0.00118004971054259
"LH1284",0.00166960021696094
"LH1285",0.000145010756076135
"LH1286",0.00618307196343991
"LH1287",0.000668923824918346
"LH1288",0.00176000854606314
"LH1289",0.000752892947988415
"LH1290",0.00070884117212631
"LH1291",1.49200103331786e-05
"LH1292",1.40299156431783e-05
"LH1293",-0.000114929686789823
"LH1294",0.000854345315875805
"LH1295",-5.74743668703418e-06
"LH1296",5.96575949964694e-05
"LH1297",1.56029413898294e-06
"LH1298",-4.14174200269419e-06
"LH1299",0.000672333813915452
"LH1300",3.89751772980587e-05
"LH1301",0.000642254355911397
"LH1302",0.00132718543112604
"LH1303",0.000882551478611727
"LH1304",0.000261451401353583
"LH1305",0.00178962103881556
"LH1306",0.0017899898350029
"LH1307",0.00202104100704909
"LH1308",0.00117523047058923
"LH1309",0.000240981261942488
"LH1310",4.99817122800743e-05
"LH1311",0.000122662490004006
"LH1312",0.000699237957715673
"LH1313",6.4645287488371e-05
"LH1314",0.00112656657414897
"LH1315",0.000375745002837254
"LH1316",0.00109389960394355
"LH1317",0.000710736088150815
"LH1318",0.0026630923398599
"LH1319",0.00159134523889197
"LH1320",0.00432295975846299
"LH1321",2.35968773132608e-05
"LH1322",7.57272399498019e-05
"LH1323",2.87606999692808e-05
"LH1324",0.000734776112718667
"LH1325",0.0004710629331693
"LH1326",8.06708437982972e-05
"LH1327",-1.75356839497835e-05
"LH1328",0.000997484646213142
"LH1329",0.000103543009854408
"LH1330",0.000535800812068483
"LH1331",2.03111666899129e-05
"LH1332",0.000776181630793398
"LH1333",6.30251530142797e-05
"LH1334",1.28775906727442e-06
"LH1335",0.000395456047279576
"LH1336",0.000798527152999011
"LH1337",0.000558069474110708
"LH1338",0.000115326527069807
"LH1339",0.0011017715736053
"LH1340",0.00024114987054916
"LH1341",-0.000111729483901122
"LH1342",0.00103110854919348
"LH1343",0.000451247769280618
"LH1344",0.000198974530879659
"LH1345",0.000233295010032274
"LH1346",0.000600825203474756
"LH1347",0.00131068980591109
"LH1348",0.000765286995494371
"LH1349",0.00234529364937157
"LH1350",0.00206468046599787
"LH1351",0.00210936662185495
"LH1352",0.00911703976344094
"LH1353",-9.59292934604195e-06
"LH1354",-1.41937330277761e-06
"LH1355",-1.50070241938821e-06
"LH1356",0.000141077670267638
"LH1357",0.000510696891143365
"LH1358",0.000124775970434313
"LH1359",8.04088408273032e-05
"LH1360",0.00118018383341206
"LH1361",0.000697132755908648
"LH1362",0.000131573773303212
"LH1363",-2.08698674019642e-05
"LH1364",9.778399117667e-05
"LH1365",0.000553804851182673
"LH1366",8.07122172229587e-06
"LH1367",0.000119599464060506
"LH1368",0.00135807914680283
"LH1369",0.000978303899654849
"LH1370",0.00165685500350131
"LH1371",0.00365844249896272
"LH1372",-3.56867355732531e-05
"LH1373",0.000112564447017773
"LH1374",0.000371418244100046
"LH1375",0.00204000827567389
"LH1376",0.000511669301222806
"LH1377",0.00057986304759762
"LH1378",0.000184004207574818
"LH1379",0.000929468713702678
"LH1380",0.00512104162570479
"LH1381",0.000773082159751161
"LH1382",0.000200113535648826
"LH1383",0.000536301217959618
"LH1384",0.00581321576356221
"LH1385",8.39754174511676e-06
"LH1386",-3.11192313013425e-08
"LH1387",2.92442424291755e-06
"LH1388",0.000352181667308435
"LH1389",-2.88299952464478e-05
"LH1390",0.000299547029850804
"LH1391",2.5239867907341e-06
"LH1392",0.000611833117949307
"LH1393",-6.37080712478962e-06
"LH1394",0.000378808790250447
"LH1395",3.47186849472644e-05
"LH1396",-3.38230245592429e-06
"LH1397",0.000183636659373231
"LH1398",0.000567687713240882
"LH1399",0.000190691499515551
"LH1400",0.00175117741016729
"LH1401",0.012444048085612
"LH1402",6.56787259892673e-05
"LH1403",0.000210691978474677
"LH1404",5.94357756099628e-05
"LH1405",0.000330254929670087
"LH1406",0.000554122365283971
"LH1407",0.00079456088381158
"LH1408",0.00135569838493961
"LH1409",0.000962604165119733
"LH1410",0.000864587546547895
"LH1411",0.000277846121010585
"LH1412",0.00609934822393595
"LH1413",0.00221809481274641
"LH1414",9.46343756852188e-05
"LH1415",0.00599473406801566
"LH1416",0.0018414402547956
"LH1417",0
"LH1418",0
"LH1419",0
"LH1420",0
"LH1421",0
"LH1422",1.32194203995182e-05
"LH1423",5.64120405142224e-06
"LH1424",3.85221004948305e-05
"LH1425",5.82291149184079e-06
"LH1426",-4.96259314831928e-06
"LH1427",5.94374433806386e-06
"LH1428",-2.57600728328861e-06
"LH1429",1.62170427230302e-05
"LH1430",4.54756935499225e-05
"LH1431",0.000437428517596023
"LH1432",0.000387405539354953
"LH1433",5.06407983693489e-05
"LH1434",-6.34718057678974e-06
"LH1435",0.000481518637123446
"LH1436",0.000141989959758357
"LH1437",-6.04332266756454e-06
"LH1438",0.000636030367145565
"LH1439",0.000645507543161506
"LH1440",2.37256349665985e-05
"LH1441",2.36276759666972e-05
"LH1442",1.89118589979561e-05
"LH1443",9.95529752104607e-05
"LH1444",0.00214895713996983
"LH1445",0.0361331011884533
"LH1446",0.00367400359867692
"LH1447",0.00303015508127358
"LH1448",0.0039200002748395
"LH1449",-6.35221459356968e-06
"LH1450",-9.13222185304495e-07
"LH1451",3.8548710759757e-06
"LH1452",-5.37721604076541e-06
"LH1453",1.76952252406548e-06
"LH1454",-3.49256605084392e-08
"LH1455",0.000130566111803619
"LH1456",4.4374277268436e-05
"LH1457",4.48923889114061e-06
"LH1458",3.00304605635562e-05
"LH1459",0.000224702771330541
"LH1460",-1.5654312573152e-05
"LH1461",0.00058986960218382
"LH1462",7.92427165180036e-05
"LH1463",0.00107181696221325
"LH1464",0.000123012642986998
"LH1465",8.2495964283375e-05
"LH1466",9.58763903513206e-06
"LH1467",-7.19677870556744e-06
"LH1468",0.00192216243540502
"LH1469",0.000202040648773132
"LH1470",0.00135521886400143
"LH1471",0.00167060654656102
"LH1472",0.000102908059091454
"LH1473",-2.22712436491113e-05
"LH1474",-3.85087767554203e-05
"LH1475",0.000509030974177127
"LH1476",0.000905258447572473
"LH1477",0.0118032765971333
"LH1478",0.00426852545980567
"LH1479",0.00759442585282121
"LH1480",0.00483292626464402
"LH1481",1.46684790406128e-06
