"","x"
"LH11",0.5
"LH12",0.5
"LH13",0.5
"LH14",0.5
"LH15",0.5
"LH16",0.5
"LH17",0.5
"LH18",0.5
"LH19",0.5
"LH110",0.499999999999999
"LH111",0.5
"LH112",0.500000000000001
"LH113",0.499999999999999
"LH114",0.499999999999999
"LH115",0.500000000000001
"LH116",0.500000000000001
"LH117",0.499999999999999
"LH118",0.499999999999999
"LH119",0.499999999999999
"LH120",0.500000000000001
"LH121",0.499999999999999
"LH122",0.499999999999999
"LH123",0.500000000000001
"LH124",0.50000039744345
"LH125",0.50000039744345
"LH126",0.504359840873391
"LH127",0.5000309458935
"LH128",0.499999999999999
"LH129",0.502116081039538
"LH130",0.500028301855743
"LH131",0.499999999999999
"LH132",0.5128498176073
"LH133",0
"LH134",0
"LH135",4.05539576663883e-07
"LH136",3.03214961141454e-05
"LH137",0
"LH138",9.58308385427109e-21
"LH139",0.0027643946231909
"LH140",0.000224896526434634
"LH141",2.29994012502506e-19
"LH142",0
"LH143",-1.53329341668337e-19
"LH144",-1.53329341668337e-19
"LH145",2.29994012502506e-19
"LH146",0
"LH147",-1.53329341668337e-19
"LH148",-1.53329341668337e-19
"LH149",2.29994012502506e-19
"LH150",0
"LH151",-1.53329341668337e-19
"LH152",-1.53329341668337e-19
"LH153",2.29994012502506e-19
"LH154",0
"LH155",-1.53329341668337e-19
"LH156",0.000666278498828713
"LH157",0.000666278498828708
"LH158",0.000922566616486667
"LH159",6.54832345726025e-06
"LH160",0
"LH161",0.00219298750279162
"LH162",2.93658549199607e-05
"LH163",5.003044761935e-05
"LH164",0.0288803154297053
"LH165",0
"LH166",0
"LH167",5.47010619837477e-05
"LH168",0.00408990425058937
"LH169",2.14661078335672e-18
"LH170",0
"LH171",0.00276376839466688
"LH172",0.000224845579793864
"LH173",2.4532694666934e-18
"LH174",3.06658683336675e-19
"LH175",0
"LH176",0
"LH177",2.4532694666934e-18
"LH178",3.06658683336675e-19
"LH179",0
"LH180",0
"LH181",2.4532694666934e-18
"LH182",3.06658683336675e-19
"LH183",0
"LH184",0
"LH185",2.4532694666934e-18
"LH186",3.06658683336675e-19
"LH187",0
"LH188",1.06417265322684e-06
"LH189",1.0641726532293e-06
"LH190",3.06658683336675e-19
"LH191",0
"LH192",0
"LH193",0.0105178938321479
"LH194",0.000866937827349077
"LH195",0.00364999383173033
"LH196",0.0174206608448092
"LH197",0
"LH198",0
"LH199",0
"LH1100",0
"LH1101",0
"LH1102",0
"LH1103",0
"LH1104",0
"LH1105",0
"LH1106",0
"LH1107",0
"LH1108",0
"LH1109",0
"LH1110",0
"LH1111",0
"LH1112",0
"LH1113",0
"LH1114",0
"LH1115",0
"LH1116",0
"LH1117",0
"LH1118",0
"LH1119",0
"LH1120",0
"LH1121",0
"LH1122",0
"LH1123",0
"LH1124",0
"LH1125",0.0110210610462707
"LH1126",0.000486690985411525
"LH1127",0.010587166040102
"LH1128",0.0220507029255603
"LH1129",0
"LH1130",0
"LH1131",4.96945637786174e-05
"LH1132",0.00371557699720234
"LH1133",3.83323354170843e-20
"LH1134",0
"LH1135",0
"LH1136",3.83323354170843e-20
"LH1137",3.83323354170843e-20
"LH1138",0
"LH1139",0
"LH1140",3.83323354170843e-20
"LH1141",3.83323354170843e-20
"LH1142",0
"LH1143",0
"LH1144",3.83323354170843e-20
"LH1145",3.83323354170843e-20
"LH1146",0
"LH1147",0
"LH1148",3.83323354170843e-20
"LH1149",3.83323354170843e-20
"LH1150",0
"LH1151",0
"LH1152",3.83323354170843e-20
"LH1153",3.83323354170843e-20
"LH1154",0.00015013311222476
"LH1155",1.06563598001779e-06
"LH1156",1.64383550676069e-10
"LH1157",0.00557559775395435
"LH1158",0.000531216946698678
"LH1159",0.00284562363641346
"LH1160",0.0246868295364532
"LH1161",0
"LH1162",0
"LH1163",0.000112490125247307
"LH1164",0.00841069304166314
"LH1165",-3.6799042000401e-18
"LH1166",-2.4532694666934e-18
"LH1167",0
"LH1168",2.4532694666934e-18
"LH1169",-3.6799042000401e-18
"LH1170",-2.4532694666934e-18
"LH1171",0
"LH1172",2.4532694666934e-18
"LH1173",-3.6799042000401e-18
"LH1174",-2.4532694666934e-18
"LH1175",0
"LH1176",2.4532694666934e-18
"LH1177",-3.6799042000401e-18
"LH1178",-2.4532694666934e-18
"LH1179",0
"LH1180",2.4532694666934e-18
"LH1181",-3.6799042000401e-18
"LH1182",-2.4532694666934e-18
"LH1183",0
"LH1184",2.4532694666934e-18
"LH1185",-3.6799042000401e-18
"LH1186",0.0105884894119484
"LH1187",7.51564736400839e-05
"LH1188",3.11261716700127e-06
"LH1189",0.00917993769020477
"LH1190",3.34064837358958e-05
"LH1191",1.86308211225678e-05
"LH1192",0.0249610950916239
"LH1193",0
"LH1194",0
"LH1195",9.4249661280084e-05
"LH1196",0.00704688494714331
"LH1197",2.4532694666934e-18
"LH1198",0
"LH1199",2.4532694666934e-18
"LH1200",0
"LH1201",2.4532694666934e-18
"LH1202",0
"LH1203",2.4532694666934e-18
"LH1204",0
"LH1205",2.4532694666934e-18
"LH1206",0
"LH1207",2.4532694666934e-18
"LH1208",0
"LH1209",2.4532694666934e-18
"LH1210",0
"LH1211",2.4532694666934e-18
"LH1212",0
"LH1213",2.4532694666934e-18
"LH1214",0
"LH1215",2.4532694666934e-18
"LH1216",0
"LH1217",1.34950009130405e-07
"LH1218",0.00197541842734874
"LH1219",8.38927438987352e-07
"LH1220",6.17963845258346e-06
"LH1221",0.0299224156663213
"LH1222",0.000215386969548288
"LH1223",1.47196168001604e-17
"LH1224",0.00480330762723119
"LH1225",0
"LH1226",0
"LH1227",6.19779494928241e-05
"LH1228",0.00463398460433598
"LH1229",0
"LH1230",-1.2266347333467e-18
"LH1231",0
"LH1232",0
"LH1233",0
"LH1234",-1.2266347333467e-18
"LH1235",0
"LH1236",0
"LH1237",0
"LH1238",-1.2266347333467e-18
"LH1239",0
"LH1240",5.24873325132117e-07
"LH1241",5.24873325132117e-07
"LH1242",0
"LH1243",0
"LH1244",0
"LH1245",-1.2266347333467e-18
"LH1246",0
"LH1247",0
"LH1248",0
"LH1249",4.84198426754926e-07
"LH1250",0.00666369422462894
"LH1251",2.4532694666934e-18
"LH1252",4.19132203359171e-05
"LH1253",0.00886269371730583
"LH1254",8.53517216945642e-05
"LH1255",8.96046963557298e-07
"LH1256",0.0260228378673336
"LH1257",0
"LH1258",0
"LH1259",5.38165137335768e-05
"LH1260",0.00402376810044845
"LH1261",2.14661078335672e-18
"LH1262",2.4532694666934e-18
"LH1263",3.06658683336675e-19
"LH1264",-1.53329341668337e-18
"LH1265",2.14661078335672e-18
"LH1266",2.4532694666934e-18
"LH1267",3.06658683336675e-19
"LH1268",-1.53329341668337e-18
"LH1269",2.14661078335672e-18
"LH1270",2.4532694666934e-18
"LH1271",3.06658683336675e-19
"LH1272",0.00134336658153866
"LH1273",0.00134336658153866
"LH1274",0
"LH1275",0
"LH1276",1.2266347333467e-18
"LH1277",-1.2266347333467e-18
"LH1278",0
"LH1279",0
"LH1280",1.2266347333467e-18
"LH1281",-1.2266347333467e-18
"LH1282",0
"LH1283",0
"LH1284",2.95523200375238e-05
"LH1285",0.00786622411921026
"LH1286",0.000918542593955416
"LH1287",0.00175256980263536
"LH1288",0.0158791248585481
"LH1289",0
"LH1290",0
"LH1291",2.71995729162419e-07
"LH1292",2.03366524981554e-05
"LH1293",0
"LH1294",0
"LH1295",0.000515251912045385
"LH1296",4.19181705410979e-05
"LH1297",-3.06658683336675e-19
"LH1298",0
"LH1299",0
"LH1300",0
"LH1301",-3.06658683336675e-19
"LH1302",0
"LH1303",0
"LH1304",6.93442478013072e-05
"LH1305",6.93442478013069e-05
"LH1306",3.06658683336675e-19
"LH1307",0
"LH1308",0
"LH1309",0
"LH1310",3.06658683336675e-19
"LH1311",0
"LH1312",0
"LH1313",0
"LH1314",3.06658683336675e-19
"LH1315",0
"LH1316",2.9523767855698e-06
"LH1317",0.0139296199742296
"LH1318",0.00153422161385632
"LH1319",0.00303327418120409
"LH1320",0.0162089035768163
"LH1321",0
"LH1322",0
"LH1323",0
"LH1324",0
"LH1325",0
"LH1326",0
"LH1327",0.0019995684610143
"LH1328",0.000162674314831102
"LH1329",0
"LH1330",1.21705164949243e-18
"LH1331",-1.2266347333467e-18
"LH1332",-1.2266347333467e-18
"LH1333",0
"LH1334",1.21705164949243e-18
"LH1335",-1.2266347333467e-18
"LH1336",-1.2266347333467e-18
"LH1337",0
"LH1338",1.21705164949243e-18
"LH1339",-1.2266347333467e-18
"LH1340",-1.2266347333467e-18
"LH1341",0
"LH1342",1.21705164949243e-18
"LH1343",-1.2266347333467e-18
"LH1344",-1.2266347333467e-18
"LH1345",0
"LH1346",1.21705164949243e-18
"LH1347",-1.2266347333467e-18
"LH1348",4.54111045818842e-06
"LH1349",0.0114157321796981
"LH1350",6.69678161194554e-05
"LH1351",0.00529381470042493
"LH1352",0.0251064220022931
"LH1353",0
"LH1354",0
"LH1355",5.42046378526897e-05
"LH1356",0.00405278747277777
"LH1357",0
"LH1358",0
"LH1359",0
"LH1360",-1.2266347333467e-18
"LH1361",0
"LH1362",0
"LH1363",0
"LH1364",-1.2266347333467e-18
"LH1365",0
"LH1366",0
"LH1367",0
"LH1368",-1.2266347333467e-18
"LH1369",0
"LH1370",0
"LH1371",0
"LH1372",-1.2266347333467e-18
"LH1373",0
"LH1374",0
"LH1375",0
"LH1376",-1.2266347333467e-18
"LH1377",0
"LH1378",0
"LH1379",0
"LH1380",8.25515475390228e-05
"LH1381",0.0220914994216599
"LH1382",9.81879036984294e-05
"LH1383",0.00271940357359366
"LH1384",0.0189290782004268
"LH1385",0
"LH1386",0
"LH1387",3.38767652913151e-07
"LH1388",2.53290743061504e-05
"LH1389",0
"LH1390",9.58308385427109e-21
"LH1391",0.00259780461831145
"LH1392",0.000211343644685474
"LH1393",1.2266347333467e-18
"LH1394",-1.53329341668337e-19
"LH1395",1.53329341668337e-19
"LH1396",-1.2266347333467e-18
"LH1397",1.2266347333467e-18
"LH1398",-1.53329341668337e-19
"LH1399",1.53329341668337e-19
"LH1400",-1.2266347333467e-18
"LH1401",1.2266347333467e-18
"LH1402",-1.53329341668337e-19
"LH1403",1.53329341668337e-19
"LH1404",-1.2266347333467e-18
"LH1405",1.2266347333467e-18
"LH1406",0.000824691201035665
"LH1407",0.000164546661136123
"LH1408",0
"LH1409",5.17418961532285e-08
"LH1410",1.80667958801901e-05
"LH1411",2.4532694666934e-18
"LH1412",4.69434651899961e-06
"LH1413",0.00715850720413194
"LH1414",0.00269258773237931
"LH1415",0.0036214042226031
"LH1416",0.0170514513435318
"LH1417",0
"LH1418",0
"LH1419",0
"LH1420",0
"LH1421",0
"LH1422",0
"LH1423",4.97413052915361e-05
"LH1424",0.000446216887432747
"LH1425",0.000442170197902047
"LH1426",-3.83323354170843e-20
"LH1427",0
"LH1428",0
"LH1429",1.26496706876378e-18
"LH1430",-3.83323354170843e-20
"LH1431",0
"LH1432",0
"LH1433",1.26496706876378e-18
"LH1434",-3.83323354170843e-20
"LH1435",0
"LH1436",0
"LH1437",1.26496706876378e-18
"LH1438",0.000930181732800229
"LH1439",0.000185594678577721
"LH1440",-1.2266347333467e-18
"LH1441",1.6179387925263e-05
"LH1442",0.00564938127182295
"LH1443",-4.9065389333868e-18
"LH1444",0.00181177536300298
"LH1445",0.00835257290959477
"LH1446",6.99342013067631e-05
"LH1447",0.0107417467542787
"LH1448",0.0179417716977406
"LH1449",0
"LH1450",0
"LH1451",0
"LH1452",1.45639860559973e-06
"LH1453",0.00325665601951689
"LH1454",5.98942740891943e-22
"LH1455",6.12718423932458e-19
"LH1456",0.000978786188007502
"LH1457",0.000978786188007504
"LH1458",2.4532694666934e-18
"LH1459",0
"LH1460",-2.4532694666934e-18
"LH1461",-1.2266347333467e-18
"LH1462",2.4532694666934e-18
"LH1463",0
"LH1464",-2.4532694666934e-18
"LH1465",-1.2266347333467e-18
"LH1466",2.4532694666934e-18
"LH1467",0
"LH1468",-2.4532694666934e-18
"LH1469",-1.2266347333467e-18
"LH1470",2.4532694666934e-18
"LH1471",0
"LH1472",-2.4532694666934e-18
"LH1473",5.25126567000735e-09
"LH1474",1.833592351146e-06
"LH1475",0
"LH1476",0.00498893446628063
"LH1477",0.00490606115358489
"LH1478",2.18984164303531e-06
"LH1479",0.00267327169482251
"LH1480",0.0184537346976063
"LH1481",0
"LH1482",0
"LH1483",0
"LH1484",9.28720207794812e-06
"LH1485",0.020767132318947
"LH1486",0
"LH1487",0
"LH1488",0.000686467107945849
"LH1489",0.000686467107945849
"LH1490",0
"LH1491",0
"LH1492",0
"LH1493",0
"LH1494",0
"LH1495",0
"LH1496",0
"LH1497",0
"LH1498",0
"LH1499",0
"LH1500",0
"LH1501",0
"LH1502",0
"LH1503",0
"LH1504",0
"LH1505",4.74010425296802e-08
"LH1506",1.65510934755248e-05
"LH1507",-2.4532694666934e-18
"LH1508",0.00695525600867112
"LH1509",0.00366828085366273
"LH1510",0.000540243612663325
"LH1511",0.00207146624912449
"LH1512",0.00820682226668947
"LH1513",0
"LH1514",0
"LH1515",0
"LH1516",4.54328632070837e-06
"LH1517",0.0101592522046057
"LH1518",-1.2266347333467e-18
"LH1519",0
"LH1520",3.25928053124886e-06
"LH1521",3.25928053125009e-06
"LH1522",0
"LH1523",0
"LH1524",2.4532694666934e-18
"LH1525",-1.2266347333467e-18
"LH1526",0
"LH1527",0
"LH1528",2.4532694666934e-18
"LH1529",-1.2266347333467e-18
"LH1530",0
"LH1531",0
"LH1532",2.4532694666934e-18
"LH1533",-1.2266347333467e-18
"LH1534",0
"LH1535",0
"LH1536",2.4532694666934e-18
"LH1537",1.61552179354268e-05
"LH1538",0.00564094180003783
"LH1539",0
"LH1540",0.0077956089342958
"LH1541",0.0121099576603152
"LH1542",0.00268764973451854
"LH1543",0.00350619376844951
"LH1544",0.00396625460267385
"LH1545",0
"LH1546",0
"LH1547",0
"LH1548",3.78129330299288e-07
"LH1549",0.000845535799705035
"LH1550",-4.79154192713554e-21
"LH1551",9.58308385427109e-21
"LH1552",0.000666278498828712
"LH1553",0.000666278498828711
"LH1554",-1.2266347333467e-18
"LH1555",2.4532694666934e-18
"LH1556",0
"LH1557",6.1331736667335e-19
"LH1558",-1.2266347333467e-18
"LH1559",2.4532694666934e-18
"LH1560",0
"LH1561",6.1331736667335e-19
"LH1562",-1.2266347333467e-18
"LH1563",2.4532694666934e-18
"LH1564",0
"LH1565",6.1331736667335e-19
"LH1566",-1.2266347333467e-18
"LH1567",2.4532694666934e-18
"LH1568",0
"LH1569",5.97557817900691e-09
"LH1570",2.086501640956e-06
"LH1571",2.4532694666934e-18
"LH1572",0.00642677409515264
"LH1573",0.0105563464488222
"LH1574",0.00320501030497116
"LH1575",0.00412914471574266
"LH1576",0.00786505262386648
"LH1577",0
"LH1578",0
"LH1579",0
"LH1580",2.90498691632653e-06
"LH1581",0.00649584742205713
"LH1582",0
"LH1583",1.91661677085422e-20
"LH1584",1.06417265322932e-06
"LH1585",1.06417265322684e-06
"LH1586",0
"LH1587",1.91661677085422e-20
"LH1588",-2.43410329898486e-18
"LH1589",0
"LH1590",0
"LH1591",1.91661677085422e-20
"LH1592",-2.43410329898486e-18
"LH1593",0
"LH1594",0
"LH1595",1.91661677085422e-20
"LH1596",-2.43410329898486e-18
"LH1597",0
"LH1598",0
"LH1599",1.91661677085422e-20
"LH1600",-2.43410329898486e-18
"LH1601",0
"LH1602",1.25888300499474e-05
"LH1603",8.93547735657497e-08
"LH1604",0.000903128144805021
"LH1605",0.0144657329942155
"LH1606",0.00175907951702278
"LH1607",0.00389821118599125
"LH1608",0.012853019359001
"LH1609",0
"LH1610",0
"LH1611",0
"LH1612",0
"LH1613",0
"LH1614",0
"LH1615",0
"LH1616",0
"LH1617",0
"LH1618",0
"LH1619",0
"LH1620",0
"LH1621",0
"LH1622",0
"LH1623",0
"LH1624",0
"LH1625",0
"LH1626",0
"LH1627",0
"LH1628",0
"LH1629",0
"LH1630",0
"LH1631",0
"LH1632",0
"LH1633",0
"LH1634",0.00585728491414611
"LH1635",4.15746630256536e-05
"LH1636",4.75891421766068e-06
"LH1637",0.0166208259127437
"LH1638",0.00277593637714093
