"","x"
"LH11",0.5
"LH12",0.5
"LH13",0.5
"LH14",0.5
"LH15",0.5
"LH16",0.5
"LH17",0.5
"LH18",0.5
"LH19",0.5
"LH110",0.499999999999999
"LH111",0.5
"LH112",0.500000000000001
"LH113",0.499999999999999
"LH114",0.500000004831024
"LH115",0.500026935661366
"LH116",0.500000000000001
"LH117",0.499999999999999
"LH118",0.501200420389269
"LH119",0.500000215300471
"LH120",0.500000000000001
"LH121",0.499999999999999
"LH122",0.499999999999999
"LH123",0.500000759797453
"LH124",0.523883757887725
"LH125",0.50004327833141
"LH126",0.500000000000004
"LH127",0.500000153500078
"LH128",0.500000000439611
"LH129",0.50000956235581
"LH130",0.503358449544126
"LH131",0.500098291239354
"LH132",0.502142938127529
"LH133",0
"LH134",0
"LH135",0
"LH136",0
"LH137",0
"LH138",0
"LH139",0
"LH140",0
"LH141",0
"LH142",0
"LH143",0
"LH144",0
"LH145",0
"LH146",1.2772119913632e-06
"LH147",0.00712117024695921
"LH148",-1.2266347333467e-18
"LH149",0
"LH150",0.00636400150626168
"LH151",1.14141057648543e-06
"LH152",0
"LH153",2.4532694666934e-18
"LH154",-2.4532694666934e-18
"LH155",3.963386918886e-06
"LH156",0.00557759243595887
"LH157",0.000347436236136492
"LH158",0.00238505835055503
"LH159",0.00559690151743685
"LH160",3.31196139025833e-05
"LH161",4.42772710193432e-07
"LH162",0.000364192721949227
"LH163",0.00606729348040252
"LH164",0.00735517190848634
"LH165",0
"LH166",0
"LH167",0
"LH168",0
"LH169",0
"LH170",0
"LH171",0
"LH172",0
"LH173",0
"LH174",0
"LH175",0
"LH176",0
"LH177",0
"LH178",4.20366402065181e-10
"LH179",2.34377748991601e-06
"LH180",0
"LH181",0
"LH182",0
"LH183",0
"LH184",0
"LH185",0
"LH186",0
"LH187",0.00215270226788028
"LH188",0.000693561744183339
"LH189",0.000541696435965503
"LH190",0.00580590768972691
"LH191",0.00480758926967547
"LH192",0.00280579151204876
"LH193",6.47346262846962e-05
"LH194",6.47665125124716e-05
"LH195",0.00151709745429026
"LH196",0.029480766148669
"LH197",0
"LH198",0
"LH199",0
"LH1100",0
"LH1101",0
"LH1102",0
"LH1103",0
"LH1104",0
"LH1105",0
"LH1106",0
"LH1107",0
"LH1108",0
"LH1109",0.000192896152238842
"LH1110",0.00237105078738625
"LH1111",9.19976050010024e-19
"LH1112",0
"LH1113",1.2266347333467e-18
"LH1114",0
"LH1115",9.19976050010024e-19
"LH1116",0
"LH1117",1.2266347333467e-18
"LH1118",0
"LH1119",3.46932359139687e-06
"LH1120",2.82245819116082e-07
"LH1121",4.57978790983275e-07
"LH1122",0.000159925004025884
"LH1123",1.67079280814319e-06
"LH1124",5.86541018209506e-07
"LH1125",1.35332969845043e-08
"LH1126",0.0145521945749843
"LH1127",0.0078878157538828
"LH1128",0.0153571990467575
"LH1129",0
"LH1130",0
"LH1131",0
"LH1132",0
"LH1133",7.5989199161904e-09
"LH1134",0.000104578775892047
"LH1135",0
"LH1136",0
"LH1137",0.0032691928355833
"LH1138",4.37243292212262e-05
"LH1139",0
"LH1140",0
"LH1141",3.8976833531944e-06
"LH1142",4.79097435397829e-05
"LH1143",0
"LH1144",0
"LH1145",-7.66646708341687e-20
"LH1146",0
"LH1147",0
"LH1148",1.81588339080187e-05
"LH1149",1.55941619623019e-08
"LH1150",2.6095013404439e-06
"LH1151",-1.2266347333467e-18
"LH1152",-1.2266347333467e-18
"LH1153",-7.66646708341687e-20
"LH1154",3.10615231038425e-05
"LH1155",0.00437613145713959
"LH1156",6.1331736667335e-19
"LH1157",-2.4532694666934e-18
"LH1158",0.00434850430105533
"LH1159",9.18438341537641e-05
"LH1160",0.0282186388468201
"LH1161",0
"LH1162",0
"LH1163",0
"LH1164",0
"LH1165",7.34833657159142e-06
"LH1166",0.0160100934881236
"LH1167",0
"LH1168",-4.9065389333868e-18
"LH1169",0.000543096604290916
"LH1170",7.26373019862248e-06
"LH1171",2.4532694666934e-18
"LH1172",-6.1331736667335e-18
"LH1173",6.1331736667335e-18
"LH1174",-2.4532694666934e-18
"LH1175",2.4532694666934e-18
"LH1176",-6.1331736667335e-18
"LH1177",6.1331736667335e-18
"LH1178",-2.4532694666934e-18
"LH1179",8.09711110399577e-07
"LH1180",0.00876949588860633
"LH1181",1.74557998105766e-05
"LH1182",0.00514835208437076
"LH1183",-2.4532694666934e-18
"LH1184",7.35980840008019e-18
"LH1185",-7.35980840008019e-18
"LH1186",9.53735984444617e-08
"LH1187",1.34367977684982e-05
"LH1188",4.9065389333868e-18
"LH1189",1.63563518686561e-05
"LH1190",0.00571343036305134
"LH1191",1.62679069495657e-07
"LH1192",0.0223750923133014
"LH1193",0
"LH1194",0
"LH1195",0
"LH1196",0
"LH1197",0.006562430446809
"LH1198",9.02380546373841e-05
"LH1199",0
"LH1200",-6.1331736667335e-19
"LH1201",0
"LH1202",0
"LH1203",0
"LH1204",-6.1331736667335e-19
"LH1205",0
"LH1206",0
"LH1207",0
"LH1208",-6.1331736667335e-19
"LH1209",0
"LH1210",0
"LH1211",1.15910860960206e-06
"LH1212",0.00387709640967348
"LH1213",3.84112310249333e-08
"LH1214",1.30338769559391e-05
"LH1215",-6.1331736667335e-19
"LH1216",0
"LH1217",-1.2266347333467e-18
"LH1218",0
"LH1219",-6.1331736667335e-19
"LH1220",0.000144543391005724
"LH1221",0.000145205390136049
"LH1222",0.00023115123428097
"LH1223",0.00356577533983091
"LH1224",0.0338839647441639
"LH1225",0
"LH1226",0
"LH1227",0
"LH1228",0
"LH1229",1.27716303578545e-05
"LH1230",1.62752849461133e-05
"LH1231",3.26140484393766e-06
"LH1232",1.10941037739494e-06
"LH1233",0
"LH1234",-2.39577096356777e-21
"LH1235",0
"LH1236",2.39577096356777e-21
"LH1237",0
"LH1238",-2.39577096356777e-21
"LH1239",0
"LH1240",2.39577096356777e-21
"LH1241",0
"LH1242",-2.39577096356777e-21
"LH1243",0
"LH1244",2.39577096356777e-21
"LH1245",0
"LH1246",-2.39577096356777e-21
"LH1247",0
"LH1248",2.39577096356777e-21
"LH1249",4.94167593298305e-05
"LH1250",0.000607423449141654
"LH1251",6.1331736667335e-19
"LH1252",0.000501518822334274
"LH1253",0.00766161293520876
"LH1254",2.14194181887658e-06
"LH1255",0.0121231719258335
"LH1256",0.0348251003327568
"LH1257",0
"LH1258",1.8638385625963e-05
"LH1259",0.00262588622507006
"LH1260",0
"LH1261",0.00113776659337811
"LH1262",0.00172152578875211
"LH1263",0.000388049505739156
"LH1264",0.00355881926740628
"LH1265",0
"LH1266",-4.9065389333868e-18
"LH1267",4.9065389333868e-18
"LH1268",-7.35980840008019e-18
"LH1269",0
"LH1270",-4.9065389333868e-18
"LH1271",4.9065389333868e-18
"LH1272",-7.35980840008019e-18
"LH1273",0
"LH1274",-4.9065389333868e-18
"LH1275",4.9065389333868e-18
"LH1276",-7.35980840008019e-18
"LH1277",0
"LH1278",-4.9065389333868e-18
"LH1279",4.9065389333868e-18
"LH1280",-7.35980840008019e-18
"LH1281",0.00013252663293886
"LH1282",0.00162899764319952
"LH1283",0
"LH1284",0
"LH1285",0.00784127098354077
"LH1286",0.00275578681867237
"LH1287",0.00557292034661003
"LH1288",0.0100069790049465
"LH1289",0
"LH1290",1.20479918593636e-05
"LH1291",0.00169739249407898
"LH1292",0
"LH1293",0.00240432326653122
"LH1294",3.22322075024264e-05
"LH1295",2.11754584967882e-07
"LH1296",1.47105141589952e-05
"LH1297",2.44847792476626e-18
"LH1298",-4.79154192713554e-21
"LH1299",0
"LH1300",4.79154192713554e-21
"LH1301",0.00717400358214952
"LH1302",2.14610283595967e-06
"LH1303",0
"LH1304",0
"LH1305",3.6799042000401e-18
"LH1306",0
"LH1307",0
"LH1308",0
"LH1309",3.6799042000401e-18
"LH1310",0
"LH1311",0
"LH1312",0
"LH1313",3.6799042000401e-18
"LH1314",0
"LH1315",0
"LH1316",2.1360793530691e-06
"LH1317",0.00769514384523715
"LH1318",0.0118231159524714
"LH1319",2.91127605092353e-05
"LH1320",0.0143743214125039
"LH1321",0
"LH1322",0
"LH1323",0
"LH1324",0
"LH1325",0
"LH1326",0
"LH1327",0
"LH1328",0
"LH1329",0
"LH1330",0
"LH1331",0
"LH1332",0
"LH1333",8.82994319201289e-05
"LH1334",2.64147709277333e-08
"LH1335",3.83323354170843e-20
"LH1336",0
"LH1337",0
"LH1338",-3.83323354170843e-20
"LH1339",3.83323354170843e-20
"LH1340",0
"LH1341",0
"LH1342",-3.83323354170843e-20
"LH1343",3.83323354170843e-20
"LH1344",0
"LH1345",0.00138303145263282
"LH1346",4.13733794348612e-07
"LH1347",0.000205057251424738
"LH1348",0.00172015551825118
"LH1349",0.000954847888136199
"LH1350",0.00985639491143159
"LH1351",0.000525576004920191
"LH1352",0.0262702004892381
"LH1353",0
"LH1354",0
"LH1355",0
"LH1356",0
"LH1357",0
"LH1358",0
"LH1359",0
"LH1360",0
"LH1361",0
"LH1362",0
"LH1363",0
"LH1364",0
"LH1365",0
"LH1366",0
"LH1367",0
"LH1368",0
"LH1369",0
"LH1370",0
"LH1371",0
"LH1372",0
"LH1373",0
"LH1374",0
"LH1375",0
"LH1376",0
"LH1377",0.00563232132426709
"LH1378",1.68490866064106e-06
"LH1379",0.000261737174819044
"LH1380",0.00949239202959217
"LH1381",0.00625933711279768
"LH1382",0.00669190158948692
"LH1383",0.0150293240548146
"LH1384",0.006343679212293
"LH1385",0
"LH1386",0
"LH1387",0
"LH1388",0
"LH1389",0
"LH1390",0
"LH1391",0
"LH1392",0
"LH1393",0
"LH1394",0
"LH1395",0
"LH1396",0
"LH1397",0
"LH1398",0
"LH1399",0
"LH1400",0
"LH1401",0
"LH1402",0
"LH1403",0
"LH1404",0
"LH1405",0
"LH1406",0
"LH1407",0
"LH1408",0
"LH1409",4.64463113401262e-07
"LH1410",0.00639209050526018
"LH1411",0
"LH1412",0.000646774303445531
"LH1413",0.00829475107580949
"LH1414",0.0040606077815126
"LH1415",0.00113318131164286
"LH1416",0.029034659528123
"LH1417",0
"LH1418",0
"LH1419",0
"LH1420",0
"LH1421",0
"LH1422",0
"LH1423",0
"LH1424",0
"LH1425",0
"LH1426",0
"LH1427",0
"LH1428",0
"LH1429",0
"LH1430",0
"LH1431",0
"LH1432",0
"LH1433",0
"LH1434",0
"LH1435",0
"LH1436",0
"LH1437",0
"LH1438",0
"LH1439",0
"LH1440",0
"LH1441",1.09360362954762e-07
"LH1442",0.00150505243048445
"LH1443",0
"LH1444",6.87445584296751e-05
"LH1445",0.00297645621608426
"LH1446",0.00888615663523145
"LH1447",0.00808137098740186
"LH1448",0.0221103014344484
"LH1449",0
"LH1450",0
"LH1451",0
"LH1452",0
"LH1453",0
"LH1454",0
"LH1455",0
"LH1456",0
"LH1457",0
"LH1458",0
"LH1459",0
"LH1460",0
"LH1461",0
"LH1462",0
"LH1463",0
"LH1464",0
"LH1465",0
"LH1466",0
"LH1467",0
"LH1468",0
"LH1469",0
"LH1470",0
"LH1471",2.97376415002052e-08
"LH1472",6.75849747928434e-08
"LH1473",0
"LH1474",-7.48678426114929e-23
"LH1475",7.48678426114929e-23
"LH1476",3.42412079618205e-06
"LH1477",0.00128797058078242
"LH1478",0.000773772369976062
"LH1479",0.012581472515827
"LH1480",0.0333157150605997
"LH1481",0
"LH1482",0
"LH1483",0
"LH1484",0
"LH1485",0
"LH1486",0
"LH1487",0
"LH1488",0
"LH1489",0
"LH1490",0
"LH1491",0
"LH1492",0
"LH1493",0
"LH1494",0
"LH1495",0
"LH1496",0
"LH1497",0
"LH1498",0
"LH1499",0
"LH1500",0
"LH1501",0
"LH1502",0
"LH1503",0.000493635949971052
"LH1504",0.00411010629470105
"LH1505",0.0079381977177223
"LH1506",4.9065389333868e-18
"LH1507",0.000325296679472859
"LH1508",0.000739304355465355
"LH1509",2.44626759595606e-05
"LH1510",0.00398654470401986
"LH1511",0.00225315071096412
"LH1512",0.0326885428801757
"LH1513",0
"LH1514",0
"LH1515",0
"LH1516",0
"LH1517",0
"LH1518",0
"LH1519",0
"LH1520",0
"LH1521",0
"LH1522",9.68602660677582e-08
"LH1523",4.85453843940186e-07
"LH1524",0
"LH1525",2.99285850457009e-08
"LH1526",1.04502091568843e-05
"LH1527",0
"LH1528",4.79154192713554e-21
"LH1529",-4.79154192713554e-21
"LH1530",0
"LH1531",0
"LH1532",4.79154192713554e-21
"LH1533",-4.79154192713554e-21
"LH1534",0
"LH1535",4.54629075653873e-06
"LH1536",0.00426289495224091
"LH1537",0.000885455187474682
"LH1538",3.56597090562121e-07
"LH1539",0.00487839211608285
"LH1540",0.00162718075768556
"LH1541",1.94556575942971e-05
"LH1542",0.0068307369918523
"LH1543",0.00630662244579166
"LH1544",0.014190759586999
"LH1545",0
"LH1546",0
"LH1547",0
"LH1548",0
"LH1549",0
"LH1550",0
"LH1551",0
"LH1552",0
"LH1553",0
"LH1554",0.000330357410323326
"LH1555",0.00931463659746179
"LH1556",-2.4532694666934e-18
"LH1557",1.47444793581751e-05
"LH1558",0.00514835208437076
"LH1559",0
"LH1560",0
"LH1561",0
"LH1562",1.2266347333467e-18
"LH1563",0
"LH1564",0
"LH1565",0
"LH1566",1.2266347333467e-18
"LH1567",0
"LH1568",0.00364213355147699
"LH1569",0
"LH1570",2.68298791368402e-06
"LH1571",0.0151757220362198
"LH1572",6.46961778779027e-05
"LH1573",2.70047537244728e-09
"LH1574",0.00131444029731272
"LH1575",0.00277291734500612
"LH1576",0.0169414398531425
"LH1577",0
"LH1578",0
"LH1579",0
"LH1580",0
"LH1581",0
"LH1582",0
"LH1583",0
"LH1584",0
"LH1585",0
"LH1586",1.49947824712892e-06
"LH1587",0.000144887519084607
"LH1588",0
"LH1589",1.2663263939006e-08
"LH1590",4.42165095908878e-06
"LH1591",0
"LH1592",0
"LH1593",0
"LH1594",0
"LH1595",0
"LH1596",0
"LH1597",0
"LH1598",0
"LH1599",0
"LH1600",0
"LH1601",0
"LH1602",8.76239158222238e-07
"LH1603",0.00540205984073208
"LH1604",0.00117393799333758
"LH1605",1.61818411800462e-05
"LH1606",0.0128079325586592
"LH1607",0.00321295573877587
"LH1608",0.0221256169388763
"LH1609",0
"LH1610",0
"LH1611",0
"LH1612",0
"LH1613",0.00771431068878287
"LH1614",2.41493713127631e-18
"LH1615",-3.83323354170843e-20
"LH1616",0
"LH1617",-3.83323354170843e-20
"LH1618",2.41493713127631e-18
"LH1619",-3.83323354170843e-20
"LH1620",0
"LH1621",-3.83323354170843e-20
"LH1622",0.00013810629802115
"LH1623",0.000692174778869746
"LH1624",0
"LH1625",0
"LH1626",-3.83323354170843e-20
"LH1627",0.000166769965799542
"LH1628",1.55191452656021e-05
"LH1629",0.00436402800064417
"LH1630",-4.9065389333868e-18
"LH1631",4.9065389333868e-18
"LH1632",0
"LH1633",0
"LH1634",-4.9065389333868e-18
"LH1635",4.9065389333868e-18
"LH1636",3.07863277897133e-10
"LH1637",8.92242683431726e-07
"LH1638",0.00356003755781765
"LH1639",0.017096247559213
"LH1640",0.0168254845418224
"LH1641",0
"LH1642",0
"LH1643",0
"LH1644",0
"LH1645",0.000985338333862188
"LH1646",-3.06658683336675e-19
"LH1647",3.06658683336675e-19
"LH1648",3.06658683336675e-19
"LH1649",4.43978806535073e-09
"LH1650",6.11017889667761e-05
"LH1651",3.06658683336675e-19
"LH1652",3.06658683336675e-19
"LH1653",-1.91661677085422e-20
"LH1654",0.000183110100284951
"LH1655",0.000917729278024269
"LH1656",-1.91661677085422e-20
"LH1657",-1.20746856563816e-18
"LH1658",0
"LH1659",0.0022978351996307
"LH1660",0.000187747230531522
"LH1661",0.00180567772588273
"LH1662",-2.52993413752757e-18
"LH1663",0
"LH1664",0
"LH1665",7.35980840008019e-18
"LH1666",0.00476484297933774
"LH1667",3.3820574573327e-05
"LH1668",2.81996059386743e-06
"LH1669",0.00804260757435989
"LH1670",0.00415364354438322
"LH1671",0.0187344856556974
"LH1672",0.00987561259124667
"LH1673",0
"LH1674",0
"LH1675",0
"LH1676",0
"LH1677",0
"LH1678",0
"LH1679",0.000211722664432623
"LH1680",6.06357219596956e-07
"LH1681",5.62713999463119e-07
"LH1682",0.00774425074750314
